Date,Price,Open,High,Low,Vol.,Change %
"Apr 04, 2018","9,085.9","9,094.85","9,101.5","9,084.2",120.68K,0.12
"Apr 03, 2018","9,074.85","9,003.85","9,081.75","8,998.1",1.22M,0.57
"Apr 02, 2018","9,023.6","8,949.45","9,030.7","8,933.45",1.01M,1.25
"Mar 28, 2018","8,912.1","8,940.2","8,953.9","8,899",1.59M,-0.74
"Mar 27, 2018","8,978.1","8,968.35","8,995.35","8,938.9",1.20M,0.72
"Mar 26, 2018","8,914.35","8,795.05","8,923.05","8,765.85",1.36M,1.29
"Mar 23, 2018","8,800.8","8,765.65","8,815.55","8,744.5",1.40M,-1.16
"Mar 22, 2018","8,904","8,961.95","8,991.7","8,897.3",1.20M,-0.5
"Mar 21, 2018","8,949.1","8,970.85","9,015.65","8,929.65",1.18M,0.32
"Mar 20, 2018","8,920.45","8,854","8,945.35","8,847.8",1.23M,0.3
"Mar 19, 2018","8,894.2","9,026.4","9,032.3","8,879.3",1.23M,-1.22
"Mar 16, 2018","9,004.45","9,127.8","9,128.5","8,991.85",1.78M,-1.42
"Mar 15, 2018","9,133.9","9,151.35","9,177.95","9,122.65",1.38M,-0.19
"Mar 14, 2018","9,151.55","9,126.9","9,158.2","9,091.45",1.30M,-0.07
"Mar 13, 2018","9,157.9","9,102.7","9,194.35","9,096.2",1.54M,0.4
"Mar 12, 2018","9,121.75","9,053.7","9,130.4","9,034.25",1.27M,1.51
"Mar 09, 2018","8,986.4","9,032.55","9,051.4","8,972.5",1.15M,-0.16
"Mar 08, 2018","9,000.7","8,992.4","9,021.65","8,898.9",1.40M,0.71
"Mar 07, 2018","8,936.85","9,025.1","9,029.95","8,924.7",1.46M,-1.14
"Mar 06, 2018","9,039.8","9,191.45","9,214.45","9,013.45",1.19M,-1.05
"Mar 05, 2018","9,136.1","9,202.1","9,202.2","9,104.15",1.14M,-0.97
"Mar 01, 2018","9,225.35","9,254.4","9,297.4","9,215.8",1.03M,-0.39
"Feb 28, 2018","9,261.9","9,244.5","9,290.2","9,213.85",1.40M,-0.43
"Feb 27, 2018","9,302.25","9,360.9","9,374.9","9,289.25",1.16M,-0.33
"Feb 26, 2018","9,332.65","9,291.05","9,338.2","9,280.8",1.21M,0.88
"Feb 23, 2018","9,251.35","9,165.45","9,257.5","9,157.1",1.22M,1.23
"Feb 22, 2018","9,138.5","9,133.9","9,160.6","9,119.3",1.34M,-0.32
"Feb 21, 2018","9,167.6","9,205.1","9,205.4","9,129.35",988.13K,0.18
"Feb 20, 2018","9,151.05","9,171.2","9,207.35","9,135.7",1.06M,-0.1
"Feb 19, 2018","9,159.95","9,265","9,265.25","9,091.75",1.20M,-0.82
"Feb 16, 2018","9,235.6","9,369.25","9,386","9,212.2",1.14M,-0.94
"Feb 15, 2018","9,323.6","9,360.45","9,399.4","9,293.35",1.26M,-0.03
"Feb 14, 2018","9,326.7","9,397.8","9,399.8","9,292.85",1.40M,-0.23
"Feb 12, 2018","9,348.45","9,314.3","9,362.3","9,296.6",1.23M,1.05
"Feb 09, 2018","9,251.1","9,167","9,272.05","9,155",1.26M,-0.77
"Feb 08, 2018","9,322.6","9,246.05","9,365.75","9,220.35",1.24M,1.26
"Feb 07, 2018","9,206.35","9,300.15","9,306.8","9,181.7",1.25M,0.17
"Feb 06, 2018","9,190.55","8,985.8","9,265.9","8,968.5",1.56M,-1.65
"Feb 05, 2018","9,344.4","9,254.55","9,367.55","9,221.05",1.48M,-0.7
"Feb 02, 2018","9,409.8","9,606.1","9,611.35","9,392.9",1.89M,-2.86
"Feb 01, 2018","9,687.05","9,717.3","9,764.35","9,551.55",1.44M,-0.11
"Jan 31, 2018","9,697.9","9,716.7","9,746.05","9,648.15",1.26M,-0.46
"Jan 30, 2018","9,743.05","9,809.95","9,810","9,729.15",1.37M,-0.78
"Jan 29, 2018","9,819.45","9,829","9,868.4","9,806.05",1.15M,0.1
"Jan 25, 2018","9,810","9,866.85","9,866.85","9,780.35",1.64M,-0.45
"Jan 24, 2018","9,853.9","9,865.7","9,895","9,825.25",1.37M,-0.24
"Jan 23, 2018","9,877.2","9,816.4","9,885.25","9,814.65",1.51M,0.92
"Jan 22, 2018","9,787.3","9,721.45","9,793.4","9,710.95",1.27M,0.66
"Jan 19, 2018","9,723.1","9,658.4","9,733.5","9,625.1",1.31M,0.79
"Jan 18, 2018","9,646.8","9,761.1","9,769.8","9,605.4",1.77M,-0.41
"Jan 17, 2018","9,686.6","9,612.1","9,696.4","9,536.2",1.74M,0.77
"Jan 16, 2018","9,612.6","9,720.1","9,720.35","9,598.05",1.66M,-0.9
"Jan 15, 2018","9,699.85","9,700.95","9,743.65","9,690.9",1.34M,0.36
"Jan 12, 2018","9,665.2","9,681.85","9,689.75","9,583.2",1.65M,0.15
"Jan 11, 2018","9,650.3","9,635.9","9,669.3","9,614.65",1.39M,0.2
"Jan 10, 2018","9,630.6","9,655.75","9,658.8","9,593.5",1.56M,-0.11
"Jan 09, 2018","9,640.75","9,661.1","9,669.45","9,607.7",1.59M,0.02
